Qty,Line Item,Manufacturer,MPN,Octopart URL,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL
,,,,,,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark
1,Si1132-A10-GMR,Silicon Laboratories,SI1132-A10-GMR,https://octopart.com/si1132-a10-gmr-silicon+laboratories-32874606,1,336-2621-1-ND,SI1132-A10-GMR,,Cut Tape,,,2.74,1.67,,2134,2265,,1,,,https://octopart.com/click/vptrack?country=GB&ak=ec9249f5&sig=04d9310&vpid=100004972,https://octopart.com/click/vptrack?country=GB&ak=ec9249f5&sig=00ce5e9&vpid=99661175,
3,MCMR04X1002FTL,Multicomp,MCMR04X1002FTL,https://octopart.com/mcmr04x1002ftl-multicomp-22097231,3,,,86T2769,,,,,,0.003,,,451400,,,1,,,https://octopart.com/click/vptrack?country=GB&ak=ec9249f5&sig=097602b&vpid=52464708
1,M52-5001045,Harwin,M52-5001045,https://octopart.com/m52-5001045-harwin-5411213,1,952-1844-ND,M52-5001045,97K6322,Tube,,,1.26,1.25,1.73,305,304,184,1,,1,https://octopart.com/click/vptrack?country=GB&ak=ec9249f5&sig=0792466&vpid=58220188,https://octopart.com/click/vptrack?country=GB&ak=ec9249f5&sig=0785f0d&vpid=44862276,https://octopart.com/click/vptrack?country=GB&ak=ec9249f5&sig=0e4c1d2&vpid=6683050
